Date,ETF,Average High,High (Percent Change),Average Volume,Volume (Percent Change),Average Price of Oil,Price of Oil (Percent Change)
2020-10,HAIL,39.79615222683656,-0.20486550544207915,26913.636363636364,-16.048865619546245,40.07772727272729,-2.2460024600246
2020-10,KARS,28.87806562840395,-0.30474974925193865,15886.363636363636,4.714285714285714,40.07772727272729,-2.2460024600246
2020-10,LIT,42.17982460845132,0.07074028494317819,397390.90909090906,-1.1578947368421066,40.07772727272729,-2.2460024600246
2020-11,DRIV,20.314289447170406,0.8148993367139967,295970.0,17.413249211356465,42.61190476190476,5.713150684931506
2020-11,IDRV,37.45553650397622,0.13336536713855374,70765.0,30.6896551724138,42.61190476190476,5.713150684931506
2020-11,HAIL,46.88512795012987,0.9486455590900712,68075.0,10.967741935483877,42.61190476190476,5.713150684931506
2020-11,KARS,33.205062784916514,0.3143816697938373,60900.0,13.41176470588235,42.61190476190476,5.713150684931506
2020-11,LIT,50.028700077975294,2.0907266901483235,749035.0,22.564901349948066,42.61190476190476,5.713150684931506
2020-12,DRIV,23.078526839356346,5.38926293115358,404913.6363636364,37.50758853288366,49.16727272727273,1.8052982985138923
2020-12,IDRV,41.17764466068624,4.378945437769663,101731.81818181818,19.40589569160997,49.16727272727273,1.8052982985138923
2020-12,HAIL,52.44148164744832,6.422159498620577,68959.09090909091,36.48333333333331,49.16727272727273,1.8052982985138923
2020-12,KARS,36.72552132781674,7.030294428305937,52813.63636363637,63.985915492957744,49.16727272727273,1.8052982985138923
2020-12,LIT,56.8910184376122,4.198660525263847,879677.2727272727,-5.120273237374969,49.16727272727273,1.8052982985138923
2020-12,VCAR,12.95803405360841,0.0,16333.333333333336,0.0,49.16727272727273,1.8052982985138923
2021-01,DRIV,26.64456938257257,1.9297160088626968,1768215.7894736843,43.46664588528678,54.38099999999999,1.660031847133756
2021-01,IDRV,45.262150226347245,1.4781199553203346,220015.7894736842,38.1602409638554,54.38099999999999,1.660031847133756
2021-01,HAIL,61.697011264116526,1.4761943010891934,141273.68421052632,18.64263322884013,54.38099999999999,1.660031847133756
2021-01,KARS,41.91313811301872,0.9366766903731936,120931.57894736846,38.376576576576575,54.38099999999999,1.660031847133756
2021-01,LIT,70.43977770827439,4.818311819495968,1951626.3157894737,47.69030206677265,54.38099999999999,1.660031847133756
2021-01,VCAR,15.00036843348204,3.263528503542694,17763.157894736843,-10.408695652173916,54.38099999999999,1.660031847133756
2021-02,DRIV,27.47952068787704,1.6595905063695806,1045547.3684210527,-0.5008059163743239,61.0525,3.661091711082527
2021-02,IDRV,45.84779871258265,0.6066589246649337,186910.5263157895,-8.012414897877456,61.0525,3.661091711082527
2021-02,HAIL,66.01595753439352,2.885084853366104,201821.05263157893,6.208069620253164,61.0525,3.661091711082527
2021-02,KARS,43.36751295134864,1.0904973232588364,143205.26315789475,-11.007756563245827,61.0525,3.661091711082527
2021-02,LIT,68.69777793197275,0.05690661113470896,1532257.8947368418,-6.197074010327022,61.0525,3.661091711082527
2021-02,VCAR,13.943619624300355,-0.4705496568973132,7894.736842105262,-3.105769230769228,61.0525,3.661091711082527
2021-03,DRIV,26.708049961145694,0.6993270859629701,593239.1304347826,-7.756256694906999,64.5604347826087,-0.4645020972502737
2021-03,IDRV,44.97180753172886,0.27254740743474803,105873.91304347826,-3.4085872576177287,64.5604347826087,-0.4645020972502737
2021-03,HAIL,61.74318730087324,-0.0035811107364822625,92621.73913043477,-9.833631484794273,64.5604347826087,-0.4645020972502737
2021-03,KARS,40.310213149493144,0.18130574673162905,103865.21739130435,4.9262411347517725,64.5604347826087,-0.4645020972502737
2021-03,LIT,59.75022415340102,-1.1125731569381467,1023643.4782608695,-2.6359481078174385,64.5604347826087,-0.4645020972502737
2021-03,VCAR,11.843421731369336,-2.8730262613829423,5456.521739130435,-14.011494252873561,64.5604347826087,-0.4645020972502737
2021-04,DRIV,27.32325637794548,-0.3442632356959197,366785.7142857143,-9.339847193652659,63.240952380952386,0.7824639289678152
2021-04,IDRV,46.6819164274724,0.31424715553198124,100938.09523809524,0.76829268292683,63.240952380952386,0.7824639289678152
2021-04,HAIL,61.136960886966904,-0.5366217006510753,78438.09523809524,25.61562499999999,63.240952380952386,0.7824639289678152
2021-04,KARS,40.48200019310913,-0.6898324079643224,58490.47619047619,2.2324766355140184,63.240952380952386,0.7824639289678152
2021-04,LIT,61.721705192071646,-0.971917656387344,695885.7142857143,-5.905253568174915,63.240952380952386,0.7824639289678152
2021-04,VCAR,12.017205802154155,-1.7623524012290663,8380.952380952382,35.20588235294117,63.240952380952386,0.7824639289678152
2021-05,DRIV,26.61474192797769,0.12518660752947494,273225.0,-5.207726911881451,66.90952380952379,0.9983185570162008
2021-05,IDRV,45.48999635720556,0.11111315956742196,62740.0,-12.360784313725484,66.90952380952379,0.9983185570162008
2021-05,HAIL,58.590294989627616,-0.41065301522776654,39810.0,-12.64195213514782,66.90952380952379,0.9983185570162008
2021-05,KARS,38.40960178913285,-0.478281052767997,41730.0,-10.390707497360088,66.90952380952379,0.9983185570162008
2021-05,LIT,62.40619035007916,0.9146231128827552,598005.0,-8.428390367553863,66.90952380952379,0.9983185570162008
2021-05,VCAR,10.760897299662457,0.5993139382156798,9045.0,-8.131868131868135,66.90952380952379,0.9983185570162008
2021-06,DRIV,28.018052393423428,0.7700681552535702,327204.5454545455,2.566010733452594,71.89363636363638,1.6276083467094675
2021-06,IDRV,48.22193660706025,0.7942609587741519,58945.454545454544,39.70841889117042,71.89363636363638,1.6276083467094675
2021-06,HAIL,62.1004965986515,0.619719748596423,33636.36363636364,-15.405612244897965,71.89363636363638,1.6276083467094675
2021-06,KARS,41.718859385109354,0.653570046372205,38900.0,9.476923076923079,71.89363636363638,1.6276083467094675
2021-06,LIT,69.35637499590139,1.6300150103221265,572536.3636363636,14.305220883534135,71.89363636363638,1.6276083467094675
